row,rank,movie_title,studio,total_gross,total_theater,opening_weekend_gross,opening_theater_count,release_date,close_date,twitter1,twitter2,twitter3,twitter4,twitter5
1,90,Eighth Grade,A24,"$1,648,837 ",158,"$263,797 ",4,8/3/18,-,EighthGrade,,,,
2,57,Mission: Impossible - Fallout,Par.,"$77,526,635 ","4,386","$61,236,534 ","4,386",7/27/18,-,MissionImpossible,MissionImpossibleFallout,,,
3,84,Teen Titans Go! To The Movies,WB,"$13,640,501 ","3,188","$10,411,189 ","3,188",7/27/18,-,TeenTitansGOMovie,,,,
4,91,Princess Mononoke - Studio Ghibli (2018),Fathom,"$1,464,271 ",739,"$489,847 ",739,7/22/18,-,princessmononoke,,,,
5,22,Mamma Mia! Here We Go Again,Uni.,"$60,227,525 ","3,514","$34,952,180 ","3,317",7/20/18,-,MammaMia2,,,,
6,28,The Equalizer 2,Sony,"$54,241,345 ","3,388","$36,011,640 ","3,388",7/20/18,-,TheEqualizer2,,,,
7,76,Unfriended: Dark Web,BH Tilt,"$6,375,430 ","1,547","$3,653,035 ","1,546",7/20/18,-,UnfriendedMovie,UnfriendedDarkWeb,,,
8,12,Hotel Transylvania 3: Summer Vacation,Sony,"$110,628,501 ","4,267","$44,076,225 ","4,267",7/13/18,-,HotelT3,,,,
9,27,Skyscraper,Uni.,"$55,264,760 ","3,822","$24,905,015 ","3,782",7/13/18,-,SkyscraperMovie,,,,
10,67,Sorry to Bother You,Annapurna,"$12,327,421 ","1,050","$727,266 ",16,7/13/18,-,SorryToBotherYou,,,,
11,8,Ant-Man and the Wasp,BV,"$177,219,127 ","4,206","$75,812,205 ","4,206",7/6/18,-,AntMan,,,,
12,21,The First Purge,Uni.,"$63,917,875 ","3,038","$17,374,280 ","3,031",7/4/18,-,TheFirstPurge,,,,
13,33,Sicario: Day of the Soldado,Sony,"$48,230,874 ","3,055","$19,007,566 ","3,055",6/29/18,-,SicarioMovie,,,,
14,41,Uncle Drew,LG/S,"$40,891,671 ","2,742","$15,242,781 ","2,742",6/29/18,-,UncleDrew,,,,
15,61,Won't You Be My Neighbor?,Focus,"$19,343,937 ",893,"$475,419 ",29,6/29/18,-,MrRogersMovie,,,,
16,97,TCM: West Side Story,Fathom,"$408,136 ",616,"$214,212 ",616,6/24/18,-,tcm,,,,
17,4,Jurassic World: Fallen Kingdom,Uni.,"$392,717,500 ","4,485","$148,024,610 ","4,475",6/22/18,-,FallenKingdom,,,,
18,3,Incredibles 2,BV,"$567,751,648 ","4,410","$182,687,905 ","4,410",6/15/18,-,Incredibles2,,,,
19,29,Tag,WB (NL),"$53,349,175 ","3,382","$14,947,396 ","3,382",6/15/18,-,TagMovie,,,,
20,60,Superfly,Col.,"$20,480,302 ","2,220","$6,870,740 ","2,220",6/13/18,-,Superfly,,,,
21,10,Ocean's 8,WB,"$136,837,915 ","4,145","$41,607,378 ","4,145",6/8/18,-,Oceans8,,,,
22,38,Hereditary,A24,"$43,622,140 ","2,998","$13,575,172 ","2,964",6/8/18,-,Hereditary,,,,
23,75,Hotel Artemis,Global Road,"$6,708,147 ","2,407","$3,232,790 ","2,407",6/8/18,7/19/18,HotelArtemis,,,,
24,50,Adrift,STX,"$31,385,713 ","3,015","$11,603,039 ","3,015",6/1/18,-,AdriftMovie,,,,
25,68,Upgrade,BH Tilt,"$11,871,365 ","1,458","$4,670,905 ","1,457",6/1/18,7/12/18,UpgradeMovie,,,,
26,80,Action Point,Par.,"$5,059,608 ","2,032","$2,390,164 ","2,032",6/1/18,6/14/18,ActionPoint,,,,
27,6,Solo: A Star Wars Story,BV,"$212,620,759 ","4,381","$84,420,489 ","4,381",5/25/18,-,HanSolo,HanSoloMovie,,,
28,5,Deadpool 2,Fox,"$317,478,854 ","4,349","$125,507,153 ","4,349",5/18/18,-,Deadpool2,,,,
29,19,Book Club,Par.,"$68,331,773 ","3,169","$13,582,231 ","2,781",5/18/18,-,BookClub,,,,
30,63,Show Dogs,Global Road,"$17,744,685 ","3,212","$6,023,972 ","3,212",5/18/18,7/26/18,ShowDogsMovie,,,,
31,30,Life of the Party,WB (NL),"$52,801,277 ","3,656","$17,886,075 ","3,656",5/11/18,-,LifeOfTheParty,,,,
32,35,Breaking In (2018),Uni.,"$46,383,120 ","2,537","$17,630,285 ","2,537",5/11/18,7/12/18,BreakingInMovie,,,,
33,31,Overboard (2018),PNT,"$50,316,123 ","2,006","$14,711,101 ","1,623",5/4/18,7/5/18,OverboardMovie,,,,
34,71,Tully (2018),Focus,"$9,227,130 ","1,356","$3,282,610 ","1,353",5/4/18,6/7/18,TULLY,,,,
35,85,Bad Samaritan,Electric,"$3,435,047 ","2,007","$1,726,868 ","2,007",5/4/18,5/24/18,BadSamaritan,,,,
36,2,Avengers: Infinity War,BV,"$677,273,078 ","4,474","$257,698,183 ","4,474",4/27/18,-,InfinityWar,,,,
37,32,I Feel Pretty,STX,"$48,795,601 ","3,440","$16,030,218 ","3,440",4/20/18,6/21/18,IFeelPretty,,,,
38,51,Super Troopers 2,Fox,"$30,617,396 ","2,125","$15,181,624 ","2,038",4/20/18,7/12/18,SuperTroopers2,,,,
39,72,Traffik,LGF,"$9,186,156 ","1,046","$3,941,338 ","1,046",4/20/18,5/31/18,Traffik,,,,
40,15,Rampage (2018),WB (NL),"$99,345,950 ","4,115","$35,753,093 ","4,101",4/13/18,-,RampageMovie,,,,
41,43,Truth or Dare,Uni.,"$40,717,020 ","3,068","$18,667,855 ","3,029",4/13/18,6/7/18,TruthorDareMovie,,,,
42,49,Isle Of Dogs,FoxS,"$31,970,030 ","1,947","$1,620,294 ",27,4/13/18,-,IsleofDogs,,,,
43,87,Sgt. Stubby: An American Hero,FunAcad,"$3,140,677 ","1,633","$1,164,403 ","1,633",4/13/18,-,StubbyMovie,,,,
44,81,Beirut,BST,"$5,019,226 ",755,"$1,734,497 ",755,4/11/18,6/14/18,BeirutMovie,,,,
45,7,A Quiet Place,Par.,"$187,841,212 ","3,808","$50,203,562 ","3,508",4/6/18,-,AQuietPlace,,,,
46,23,Blockers,Uni.,"$59,839,515 ","3,418","$20,556,350 ","3,379",4/6/18,6/14/18,BlockersMovie,,,,
47,65,Chappaquiddick,ENTMP,"$17,394,764 ","1,645","$5,765,854 ","1,560",4/6/18,-,Chappaquiddick,,,,
48,69,The Miracle Season,Mirr/LD,"$10,230,620 ","1,707","$3,950,652 ","1,707",4/6/18,7/5/18,TheMiracleSeason,,,,
49,39,Tyler Perry's Acrimony,LGF,"$43,549,096 ","2,006","$17,170,707 ","2,006",3/30/18,6/7/18,Acrimony,,,,
50,79,God's Not Dead: A Light in Darkness,PFR,"$5,728,940 ","1,693","$2,689,677 ","1,693",3/30/18,6/14/18,GodsNotDead,,,,
51,9,Ready Player One,WB,"$137,018,455 ","4,234","$41,764,050 ","4,234",3/29/18,7/5/18,ReadyPlayerOne,,,,
52,24,Pacific Rim Uprising,Uni.,"$59,185,715 ","3,708","$28,116,535 ","3,708",3/23/18,5/17/18,PacificRimUprising,,,,
53,40,Sherlock Gnomes,Par.,"$43,242,871 ","3,662","$10,604,774 ","3,662",3/23/18,6/14/18,SherlockGnomes,,,,
54,64,"Paul, Apostle of Christ",Sony,"$17,560,475 ","1,473","$5,172,585 ","1,473",3/23/18,5/24/18,PaulMovie,,,,
55,70,Midnight Sun,Global Road,"$9,561,064 ","2,173","$4,003,993 ","2,173",3/23/18,-,MidnightSunMovie,,,,
56,74,Unsane,BST,"$7,732,899 ","2,023","$3,762,145 ","2,023",3/23/18,4/12/18,Unsane,,,,
57,16,I Can Only Imagine,RAtt.,"$83,482,352 ","2,894","$17,108,914 ","1,629",3/16/18,7/12/18,ICanOnlyImagine,,,,
58,26,Tomb Raider,WB,"$57,421,715 ","3,854","$23,633,317 ","3,854",3/16/18,5/31/18,TombRaider,,,,
59,42,"Love, Simon",Fox,"$40,826,341 ","2,434","$11,756,244 ","2,402",3/16/18,6/14/18,LOVESIMON,,,,
60,86,7 Days in Entebbe,Focus,"$3,347,813 ",838,"$1,592,645 ",838,3/16/18,5/20/18,7DaysInEntebbe,,,,
61,13,A Wrinkle in Time,BV,"$100,478,608 ","3,980","$33,123,609 ","3,980",3/9/18,7/5/18,WrinkleInTime,,,,
62,56,Strangers: Prey at Night,Aviron,"$24,586,708 ","2,464","$10,402,271 ","2,464",3/9/18,5/31/18,PreyAtNight,,,,
63,77,The Hurricane Heist,ENTMP,"$6,115,825 ","2,402","$3,024,399 ","2,402",3/9/18,5/10/18,TheHurricaneHeist,,,,
64,82,Gringo,STX,"$4,969,853 ","2,404","$2,722,420 ","2,404",3/9/18,4/5/18,GringoMovie,,,,
65,34,Red Sparrow,Fox,"$46,874,505 ","3,064","$16,853,422 ","3,056",3/2/18,-,RedSparrow,,,,
66,47,Death Wish (2018),MGM,"$34,017,028 ","2,882","$13,010,267 ","2,847",3/2/18,5/31/18,TheHurricaneHeist,,,,
67,18,Game Night,WB (NL),"$69,001,013 ","3,502","$17,005,332 ","3,488",2/23/18,6/21/18,GameNight,,,,
68,48,Annihilation,Par.,"$32,732,301 ","2,112","$11,071,584 ","2,012",2/23/18,4/19/18,annihilation,,,,
69,78,Every Day (2018),Orion,"$6,102,076 ","1,669","$3,016,149 ","1,667",2/23/18,3/22/18,EveryDayMovie,,,,
70,1,Black Panther,BV,"$699,953,434 ","4,084","$202,003,951 ","4,020",2/16/18,-,BlackPanther,,,,
71,73,Early Man,LGF,"$8,267,544 ","2,494","$3,190,525 ","2,494",2/16/18,3/29/18,EarlyMan,,,,
72,83,Samson,PFR,"$4,719,928 ","1,249","$1,942,569 ","1,249",2/16/18,4/12/18,SamsonMovie,,,,
73,11,Peter Rabbit,Sony,"$115,253,424 ","3,725","$25,010,928 ","3,725",2/9/18,6/14/18,PeterRabbit ,PeterRabbitMovie,,,
74,14,Fifty Shades Freed,Uni.,"$100,407,760 ","3,768","$38,560,195 ","3,768",2/9/18,4/5/18,FiftyShadesFreed,,,,
75,46,The 15:17 to Paris,WB,"$36,250,957 ","3,042","$12,554,286 ","3,042",2/9/18,4/12/18,1517ToParis,,,,
76,55,Winchester,LGF,"$25,091,816 ","2,480","$9,307,626 ","2,480",2/2/18,3/29/18,WinchesterMovie,,,,
77,98,85: The Greatest Team in Football History,Fathom,"$115,463 ",199,N/A,N/A,1/29/18,1/29/18,BearDown,ShuffleOn,,,
78,25,Maze Runner: The Death Cure,Fox,"$58,032,443 ","3,793","$24,167,011 ","3,787",1/26/18,5/3/18,DeathCure,,,,
79,53,Hostiles,ENTMP,"$29,819,114 ","2,934","$22,849 ",3,1/26/18,5/10/18,Hostiles,,,,
80,36,12 Strongs,WB,"$45,500,164 ","3,018","$15,815,025 ","3,002",1/19/18,3/29/18,12StrongMovie,,,,
81,37,Den of Thieves,STX,"$44,947,622 ","2,432","$15,206,108 ","2,432",1/19/18,3/22/18,DenOfThieves,,,,
82,52,"I, Tonya",Neon,"$30,014,539 ","1,450","$264,155 ",4,1/19/18,4/19/18,ITonya,,,,
83,58,Phantom Thread,Focus,"$21,051,680 ","1,186","$216,495 ",4,1/19/18,4/12/18,PhantomThread,,,,
84,62,Call Me by Your Name,SPC,"$18,095,701 ",914,"$412,932 ",4,1/19/18,4/26/18,CMBYN,,,,
85,66,Forever My Girl,RAtt.,"$16,376,066 ","1,427","$4,245,630 ","1,114",1/19/18,5/10/18,ForeverMyGirl,,,,
86,17,The Post,Fox,"$81,903,458 ","2,851","$526,011 ",9,1/12/18,5/17/18,ThePost,,,,
87,44,Paddington 2,WB,"$40,442,052 ","3,702","$11,001,961 ","3,702",1/12/18,3/15/18,Paddington2,,,,
88,45,The Commuter,LGF,"$36,343,858 ","2,892","$13,701,452 ","2,892",1/12/18,3/15/18,TheCommuter,,,,
89,59,Proud Mary,SGem,"$20,877,013 ","2,125","$9,959,053 ","2,125",1/12/18,3/8/18,ProudMaryMovie,,,,
90,20,Insidious: The Last Key,Uni.,"$67,347,895 ","3,150","$29,581,355 ","3,116",1/5/18,3/1/18,insidiousthelastkey,,,,
91,54,Molly's Game,STX,"$28,780,744 ","1,708","$2,349,967 ",271,1/5/18,3/8/18,MollysGame,,,,
92,91,All the Money in the World,TriS,"$25,113,707 ","2,123","$5,584,684 ","2,074",12/25/17,3/22/17,AllTheMoney,,,,
93,30,Pitch Perfect 3,Uni.,"$104,897,530 ","3,468","$19,928,525 ","3,447",12/22/17,3/8/17,pitchperfect3,,,,
94,46,The Shape of Water,FoxS,"$63,859,435 ","2,341","$166,564 ",2,12/22/17,5/3/17,TheShapeofWater,,,,
95,50,Darkest Hour,Focus,"$56,468,410 ","1,733","$175,006 ",4,12/22/17,4/12/17,DarkestHour,,,,
96,93,Downsizing,Par.,"$24,449,754 ","2,668","$4,954,287 ","2,668",12/22/17,2/1/17,Downsizing,,,,
97,107,Father Figures,WB,"$17,501,244 ","2,902","$3,287,451 ","2,902",12/22/17,2/15/17,FatherFigures,,,,
98,4,Jumanji: Welcome to the Jungle,Sony,"$404,515,480 ","3,849","$36,169,328 ","3,765",12/20/17,5/31/17,JUMANJI,,,,
99,18,The Greatest Showman,Fox,"$174,340,174 ","3,342","$8,805,843 ","3,006",12/20/17,7/26/17,GreatestShowman,,,,
100,1,Star Wars: The Last Jedi,BV,"$620,181,382 ","4,232","$220,009,584 ","4,232",12/15/17,4/19/17,StarWarsTheLastJedi ,,,,
101,39,Ferdinand,Fox,"$84,410,380 ","3,630","$13,401,586 ","3,621",12/15/17,5/31/17,Ferdinand,,,,
102,99,The Disaster Artist,A24,"$21,120,616 ","1,010","$1,211,345 ",19,12/8/17,3/8/17,TheDisasterArtist,,,,
103,138,Just Getting Started,BG,"$6,069,605 ","2,161","$3,201,459 ","2,161",12/8/17,1/25/17,JustGettingStarted,,,,
104,52,"Three Billboards Outside Ebbing, Missouri",FoxS,"$54,513,740 ","1,726","$322,168 ",4,12/1/17,5/3/17,ThreeBillboards,,,,
105,57,Lady Bird,A24,"$48,958,273 ","1,557","$364,437 ",4,11/24/17,4/5/17,LadyBird,,,,
106,141,The Man Who Invented Christmas,BST,"$5,676,486 ",720,"$1,357,129 ",626,11/24/17,1/25/17,InventingChristmas,,,,
107,13,Coco,BV,"$209,726,015 ","3,987","$50,802,605 ","3,987",11/22/17,4/26/17,PixarCoco,,,,
108,119,"Roman J. Israel, Esq.",Sony,"$11,962,778 ","1,669","$61,999 ",4,11/22/17,2/22/17,RomanIsraelMovie,,,,
109,10,Justice League,WB,"$229,024,295 ","4,051","$93,842,239 ","4,051",11/17/17,3/15/17,JusticeLeague,,,,
110,25,Wonder,LGF,"$132,422,809 ","3,519","$27,547,866 ","3,096",11/17/17,3/22/17,WonderTheMovie,,,,
111,68,The Star,Sony,"$40,852,824 ","2,976","$9,812,674 ","2,837",11/17/17,2/15/17,TheStarMovie,,,,
112,164,TCM Presents Casablanca 75th Anniversary,Fathom,"$1,024,560 ",725,"$596,068 ",725,11/12/17,11/15/17,Casablanca75,,,,
113,31,Daddy's Home 2,Par.,"$104,029,443 ","3,575","$29,651,193 ","3,575",11/10/17,2/15/17,DaddysHome2,,,,
114,32,Murder on the Orient Express (2017),Fox,"$102,826,543 ","3,354","$28,681,472 ","3,341",11/10/17,-,OrientExpressMovie,,,,
115,155,Pokemon the Movie: I Choose You!,Fathom,"$2,401,722 ",789,N/A,N/A,11/5/17,11/16/17,PokemonIChooseYou,,,,
116,8,Thor: Ragnarok,BV,"$315,058,289 ","4,080","$122,744,989 ","4,080",11/3/17,3/15/17,ThorRagnarok,,,,
117,131,Let there be Light,ADC,"$7,233,471 ",774,"$1,729,535 ",373,11/3/17,2/16/17,LTBLfilm,,,,
118,153,LBJ,Electric,"$2,470,979 ",659,"$1,110,565 ",659,11/3/17,12/21/17,LBJMovie,,,,
119,44,A Bad Moms Christmas,STX,"$72,110,659 ","3,615","$16,759,161 ","3,615",11/1/17,1/11/17,BadMomsXmas,,,,
120,71,Jigsaw,LGF,"$38,052,832 ","2,941","$16,640,452 ","2,941",10/27/17,12/21/17,JigsawMovie,,,,
121,125,Thank You for Your Service (2017),Uni.,"$9,536,300 ","2,083","$3,817,700 ","2,054",10/27/17,11/30/17,ThankYouForYourService,,,,
122,140,Suburbicon,Par.,"$5,775,178 ","2,046","$2,840,246 ","2,046",10/27/17,11/16/17,Suburbicon,,,,
123,163,Spirited Away (Fathom Event),Fathom,"$1,196,791 ",632,"$903,896 ",632,10/27/17,-,SpiritedAway,,,,
124,165,Kirk Cameron REVIVE US 2,Fathom,"$718,607 ",731,N/A,N/A,10/24/17,11/2/17,KirkCameron,,,,
125,58,Tyler Perry's Boo 2! A Madea Halloween,LGF,"$47,319,572 ","2,388","$21,226,953 ","2,388",10/20/17,12/14/17,Boo2,,,,
126,76,Geostorm,WB,"$33,700,160 ","3,246","$13,707,376 ","3,246",10/20/17,1/11/17,Geostorm,,,,
127,104,Only The Brave,Sony,"$18,343,983 ","2,577","$6,002,665 ","2,577",10/20/17,2/1/17,OnlyTheBrave,,,,
128,136,The Snowman,Uni.,"$6,700,035 ","1,815","$3,372,565 ","1,812",10/20/17,11/23/17,TheSnowman,,,,
129,137,Same Kind of Different as Me,PFR,"$6,423,605 ","1,362","$2,591,985 ","1,362",10/20/17,2/1/17,SameKindMovie,,,,
130,51,Happy Death Day,Uni.,"$55,683,845 ","3,535","$26,039,025 ","3,149",10/13/17,12/14/17,happydeathday,,,,
131,73,The Foreigner,STX,"$34,393,507 ","2,515","$13,113,024 ","2,515",10/13/17,12/21/17,theforeigner,ForeignerMovie,,,
132,124,Marshall,ORF,"$10,051,659 ",821,"$3,000,805 ",821,10/13/17,1/18/17,MarshallMovie,,,,
133,161,Professor Marston & the Wonder Women,Annapurna,"$1,584,759 ","1,229","$736,883 ","1,229",10/13/17,11/20/17,marstonmovie,professormarstonandthewonderwomen,,,
134,35,Geostorm,WB,"$92,054,159 ","4,058","$32,753,122 ","4,058",10/6/17,2/1/17,bladerunner2049,,,,
135,83,The Mountain Between Us,Fox,"$30,348,555 ","3,259","$10,551,336 ","3,088",10/6/17,12/21/17,themountainbetweenus,MountainBetween,,,
136,95,Victoria and Abdul,Focus,"$22,245,070 ","1,060","$158,845 ",4,10/6/17,1/4/17,victoriaandabdul,VictoriaAbdul,,,
137,97,My Little Pony: The Movie,LGF,"$21,885,107 ","2,528","$8,885,899 ","2,528",10/6/17,-,mylittlepony,mlpmovie,,,
138,162,The Stray,Purd.,"$1,579,440 ",640,"$596,547 ",640,10/6/17,12/14/17,TheStrayMovie,TheStrayDogFilm,,,
139,55,American Made,Uni.,"$51,342,000 ","3,098","$16,776,390 ","3,024",9/29/17,12/14/17,AmMadeMovie,AmericanMade,,,
140,109,Flatliners (2017),Sony,"$16,883,115 ","2,552","$6,574,326 ","2,552",9/29/17,11/23/17,flatliners,flatlinersmovie,,,
141,117,Battle of the Sexes,FoxS,"$12,638,526 ","1,822","$518,332 ",21,9/29/17,12/21/17,battleofthesexes,botsfilm,,,
142,144,Stronger,RAtt.,"$4,211,129 ",645,"$1,611,040 ",573,9/29/17,11/30/17,strongermovie,strongerthefilm,,,
143,151,A Question Of Faith,PFR,"$2,587,072 ",661,"$1,025,489 ",661,9/29/17,12/14/17,AQuestionofFaith,,,,
144,34,Kingsman: The Golden Circle,Fox,"$100,234,838 ","4,038","$39,023,010 ","4,003",9/22/17,1/4/17,Kingsman,,,,
145,47,The LEGO Ninjago Movie,WB,"$59,281,555 ","4,047","$20,433,071 ","4,047",9/22/17,11/30/17,LEGONINJAGOMovie,,,,
146,145,Friend Request,ENTMP,"$3,759,078 ","2,573","$2,002,863 ","2,573",9/22/17,11/30/17,FriendRequest,,,,
