row,rank,movie_title,studio,total_gross,total_theater,opening_weekend_gross,opening_theater_count,release_date,close_date,twitter1,twitter2,twitter3,twitter4,twitter5
147,72,American Assassin,LGF,"$36,249,674 ","3,154","$14,846,778 ","3,154",9/15/17,11/9/17,americanassassin,,,,
148,105,mother!,Par.,"$17,800,004 ","2,368","$7,534,673 ","2,368",9/15/17,10/26/17,mothermovie,,,,
149,7,It,WB (NL),"$327,481,748 ","4,148","$123,403,419 ","4,103",9/8/17,12/14/17,itmovie,,,,
150,88,Home Again,ORF,"$27,020,284 ","3,036","$8,567,881 ","2,940",9/8/17,11/9/17,HomeAgainMovie,,,,
151,149,Close Encounters of the Third Kind (40th Anniversary),Sony,"$3,100,479 ",901,"$1,767,758 ",901,9/1/17,9/21/17,ce3k,,,,
152,154,Tulip Fever,Wein.,"$2,455,635 ",772,"$1,158,017 ",765,9/1/17,11/16/17,tulipfeverfilm,,,,
153,98,Leap!,Wein.,"$21,858,070 ","2,705","$4,730,038 ","2,575",8/25/17,12/7/17,LeapMovie,,,,
154,135,Birth of the Dragon,BH Tilt,"$6,901,965 ","1,633","$2,702,430 ","1,618",8/25/17,9/28/17,birthofthedragon,,,,
155,139,All Saints,Sony,"$5,802,208 ",846,"$1,514,278 ",846,8/25/17,10/26/17,AllSaints,,,,
156,150,Ingrid Goes West,Neon,"$3,024,308 ",647,"$135,301 ",3,8/25/17,10/26/17,ingridegoeswest,IamIngrid,,,
157,158,Good Time,A24,"$2,026,499 ",721,"$125,101 ",4,8/25/17,11/12/17,GoodTime,,,,
158,41,The Hitman's Bodyguard,LG/S,"$75,468,583 ","3,377","$21,384,504 ","3,377",8/18/17,11/2/17,hitmansbodyguard,,,,
159,75,Wind River,Wein.,"$33,800,859 ","2,890","$161,558 ",4,8/18/17,12/7/17,WindRiver,,,,
160,87,Logan Lucky,BST,"$27,780,977 ","3,031","$7,600,036 ","3,031",8/18/17,11/9/17,loganslucky,,,,
161,33,Annabelle: Creation,WB (NL),"$102,092,201 ","3,565","$35,006,404 ","3,502",8/11/17,11/2/17,AnnabelleCreation,,,,
162,85,The Nut Job 2: Nutty by Nature,ORF,"$28,370,522 ","4,003","$8,342,311 ","4,003",8/11/17,9/28/17,TheNutJob2,,,,
163,108,The Glass Castle,LGF,"$17,273,059 ","1,461","$4,678,548 ","1,461",8/11/17,10/12/17,GlassCastle,,,,
164,56,The Dark Tower,Sony,"$50,701,325 ","3,451","$19,153,698 ","3,451",8/4/17,10/19/17,darktower,,,,
165,81,Kidnap (2017),Aviron,"$30,718,107 ","2,418","$10,016,323 ","2,378",8/4/17,11/16/17,KidnapMovie,,,,
166,110,Detroit,Annapurna,"$16,790,139 ","3,007","$350,190 ",20,8/4/17,10/12/17,DetroitMovie.,,,,
167,37,The Emoji Movie,Sony,"$86,089,513 ","4,075","$24,531,923 ","4,075",7/28/17,11/30/17,emojimovie,,,,
168,54,Atomic Blonde,Focus,"$51,687,870 ","3,326","$18,286,420 ","3,304",7/28/17,10/5/17,atomicblonde,atomicblonde,,,
169,14,Dunkirk,WB,"$188,045,546 ","4,014","$50,513,488 ","3,720",7/21/17,11/23/17,dunkirkmovie,dunkirk,,,
170,27,Girls Trip,Uni.,"$115,171,585 ","2,648","$31,201,920 ","2,591",7/21/17,10/19/17,girlstripmovie ‏,,,,
171,67,Valerian and the City of a Thousand Planets,STX,"$41,189,488 ","3,553","$17,007,624 ","3,553",7/21/17,9/21/17,valerian,valerianmovie,valerianmovie,,
172,23,War for the Planet of the Apes,Fox,"$146,880,162 ","4,100","$56,262,929 ","4,022",7/14/17,11/30/17,warfortheplanetoftheapes,,,,
173,66,The Big Sick,LGF,"$42,873,127 ","2,597","$421,577 ",5,7/14/17,10/22/17,TheBigSick,,,,
174,112,Wish Upon,BG,"$14,301,505 ","2,250","$5,467,084 ","2,250",7/14/17,10/12/17,WishUpon,,,,
175,6,Spider-Man: Homecoming,Sony,"$334,201,140 ","4,348","$117,027,503 ","4,348",7/7/17,11/30/17,spidermanhomecoming,,,,
176,9,Despicable Me 3,Uni.,"$264,624,300 ","4,535","$72,434,025 ","4,529",6/30/17,12/21/17,despicableme3,,,,
177,90,The House,WB (NL),"$25,584,504 ","3,134","$8,724,795 ","3,134",6/30/17,8/31/17,TheHouse,,,,
178,121,The Beguiled (2017),Focus,"$10,709,995 ",941,"$229,292 ",4,6/30/17,8/17/17,beguiled,,,,
179,133,Beatriz At Dinner,RAtt.,"$7,115,854 ",683,"$141,959 ",5,6/30/17,10/5/17,beatrizatdinner,,,,
180,29,Baby Driver,TriS,"$107,825,862 ","3,226","$20,553,320 ","3,226",6/28/17,10/19/17,babydriver,,,,
181,143,The Book of Henry,Focus,"$4,504,974 ",650,"$1,424,540 ",579,6/23/17,8/17/17,thebookofhenry,thebookofhenry,,,
182,26,Transformers: The Last Knight,Par.,"$130,168,683 ","4,132","$44,680,073 ","4,069",6/21/17,8/24/17,transformers5,transformersthelastknight,,,
183,22,Cars 3,BV,"$152,901,115 ","4,256","$53,688,680 ","4,256",6/16/17,11/2/17,cars3,,,,
184,63,All Eyez on Me,LG/S,"$44,922,302 ","2,471","$26,435,354 ","2,471",6/16/17,8/3/17,AllEyezOnMe,,,,
185,65,47 Meters Down,ENTMP,"$44,307,192 ","2,471","$11,205,561 ","2,270",6/16/17,10/19/17,47metersdown,,,,
186,96,Rough Night,Sony,"$22,105,643 ","3,162","$8,004,283 ","3,162",6/16/17,8/31/17,RoughNight,,,,
187,40,The Mummy (2017),Uni.,"$80,227,895 ","4,035","$31,688,375 ","4,035",6/9/17,8/24/17,themummy,,,,
188,113,It Comes At Night,A24,"$13,985,117 ","2,533","$5,988,370 ","2,533",6/9/17,9/17/17,ItComesAtNight,,,,
189,115,Megan Leavey,BST,"$13,406,883 ","1,956","$3,810,867 ","1,956",6/9/17,9/14/17,meganleavey,,,,
190,3,Wonder Woman,WB,"$412,563,408 ","4,165","$103,251,471 ","4,165",6/2/17,11/9/17,wonderwomanmovie,WonderWoman,WonderWomanFilm,,
191,43,Captain Underpants: The First Epic Movie,Fox,"$73,921,000 ","3,529","$23,851,539 ","3,434",6/2/17,11/2/17,captainunderpants,,,,
192,19,La La Land,LG/S,"$151,101,803 ","3,236","$881,104 ",5,12/25/16,4/27/16,lalaland,,,,
193,57,Fences,Par.,"$57,682,904 ","2,368","$129,462 ",4,12/25/16,3/30/16,FencesMovie,,,,
194,54,Why Him?,Fox,"$60,323,786 ","3,008","$11,002,986 ","2,917",12/23/16,3/23/16,WhyHim,WhyHimMovie,,,
195,10,Sing,Uni.,"$270,395,425 ","4,029","$35,258,145 ","4,022",12/21/16,5/11/16,singmovie,passengers,,,
196,30,Passengers (2016),Sony,"$100,014,699 ","3,478","$14,869,736 ","3,478",12/21/16,4/20/16,passengers,passengersmovie,,,
197,63,Assassin's Creed,Fox,"$54,647,948 ","2,996","$10,278,225 ","2,970",12/21/16,3/9/16,AssassinsCreed,,,,
198,1,Rogue One: A Star Wars Story,BV,"$532,177,324 ","4,157","$155,081,681 ","4,157",12/16/16,5/4/16,rogueone,RogueOneMovie,starwars,,
199,68,Manchester by the Sea,RAtt.,"$47,695,371 ","1,213","$256,498 ",4,12/16/16,4/27/16,manchesterbythesea,mbtsmovie,,,
200,86,Collateral Beauty,WB (NL),"$31,016,021 ","3,028","$7,102,085 ","3,028",12/16/16,2/9/16,collateralbeauty,CBeautyMovie,,,
201,62,Office Christmas Party,Par.,"$54,767,494 ","3,210","$16,890,204 ","3,210",12/9/16,1/26/16,OfficeChristmasParty,officexmasparty,,,
202,132,Nocturnal Animals,Focus,"$10,663,357 ","1,262","$492,648 ",37,12/9/16,1/26/16,nocturnalanimals,,,,
203,154,Miss Sloane,EC,"$3,500,605 ","1,648","$59,797 ",3,12/9/16,1/2/16,misssloane,missloanemovie,,,
204,165,The Bounce Back,VPD,"$321,910 ",615,"$227,354 ",615,12/9/16,12/22/16,bouncebackfilm,TheBounceBack,,,
205,146,Incarnate,BH Tilt,"$4,799,774 ","1,737","$2,534,884 ","1,737",12/2/16,12/29/16,Incarnate,,,,
206,163,Believe (2016),Free,"$890,303 ",638,"$477,387 ",638,12/2/16,1/5/16,thebelievefilm,thebelievefilm,,,
207,11,Moana,BV,"$248,757,044 ","3,875","$56,631,401 ","3,875",11/23/16,4/27/16,moana,disneymoana,,,
208,75,Allied,Par.,"$40,098,064 ","3,160","$12,701,743 ","3,160",11/23/16,1/26/16,AlliedMovie,,,,
209,111,Bad Santa 2,BG,"$17,782,178 ","2,945","$6,176,680 ","2,920",11/23/16,1/26/16,badsanta,BadSanta2,,,
210,153,Rules Don't Apply,Fox,"$3,652,206 ","2,386","$1,589,625 ","2,382",11/23/16,12/22/16,RulesDontApply,,,,
211,12,Fantastic Beasts and Where To Find Them,WB,"$234,037,575 ","4,144","$74,403,387 ","4,144",11/18/16,3/30/16,fantasticbeasts,moonlightmov,,,
212,90,Moonlight (2016),A24,"$27,854,932 ","1,564","$402,075 ",4,11/18/16,5/4/16,moonlight,moonlightmov,,,
213,121,The Edge of Seventeen,STX,"$14,431,633 ","1,945","$4,754,215 ","1,945",11/18/16,1/5/16,edgeof17,,,,
214,145,Bleed for This,ORF,"$5,083,906 ","1,549","$2,366,810 ","1,549",11/18/16,12/15/16,BleedForThis,BleedForThis,,,
215,159,Billy Lynn's Long Halftime Walk,TriS,"$1,738,477 ","1,176","$114,129 ",2,11/18/16,12/15/16,BillyLynn,,,,
216,29,Arrival,Par.,"$100,546,139 ","3,115","$24,074,047 ","2,317",11/11/16,3/9/16,ArrivalMovie,,,,
217,73,Almost Christmas,Uni.,"$42,158,780 ","2,379","$15,134,235 ","2,376",11/11/16,1/12/16,AlmostChristmas,,,,
218,141,Shut In,EC,"$6,900,335 ","2,058","$3,613,567 ","2,058",11/11/16,1/2/16,ShutIn,,,,
219,13,Doctor Strange,BV,"$232,641,920 ","3,882","$85,058,311 ","3,882",11/4/16,3/16/16,DoctorStrange,,,,
220,18,Trolls,Fox,"$153,707,064 ","4,066","$46,581,142 ","4,060",11/4/16,3/30/16,DreamWorksTrolls,,,,
221,46,Hacksaw Ridge,LGF,"$67,209,615 ","2,971","$15,190,758 ","2,886",11/4/16,3/9/16,HacksawRidge,,,,
222,83,Inferno,Sony,"$34,343,574 ","3,576","$14,860,425 ","3,576",10/28/16,1/19/16,InfernoMovie,,,,
223,42,Boo! A Madea Halloween,LGF,"$73,206,343 ","2,299","$28,501,448 ","2,260",10/21/16,12/22/16,Boo2,,,,
224,56,Jack Reacher: Never Go Back,Par.,"$58,697,076 ","3,780","$22,872,490 ","3,780",10/21/16,1/12/16,JackReacherMovie,,,,
225,81,Ouija: Origin of Evil,Uni.,"$35,144,505 ","3,168","$14,065,500 ","3,167",10/21/16,12/29/16,OuijaMovie ,,,,
226,117,Keeping Up with the Joneses,Fox,"$14,904,426 ","3,022","$5,461,475 ","3,022",10/21/16,12/29/16,KeepingUpWithTheJoneses ,,,,
227,149,Denial,BST,"$4,073,489 ",648,"$93,728 ",5,10/21/16,12/19/16,denialmovie ,,,,
228,36,The Accountant,WB,"$86,260,045 ","3,402","$24,710,273 ","3,332",10/14/16,1/12/16,TheAccountant,,,,
229,98,Kevin Hart: What Now?,Uni.,"$23,591,043 ","2,567","$11,767,210 ","2,567",10/14/16,12/15/16,KevinHart4real,,,,
230,151,Max Steel,ORF,"$3,818,664 ","2,034","$2,182,216 ","2,034",10/14/16,11/3/16,MaxSteel ,,,,
231,41,The Girl on the Train (2016),Uni.,"$75,395,035 ","3,241","$24,536,265 ","3,144",10/7/16,12/29/16,thegirlonthetrain,,,,
232,106,Middle School: The Worst Years of My Life,LGF,"$20,007,149 ","2,822","$6,878,437 ","2,822",10/7/16,12/1/16,middleschoolmovie ,,,,
233,114,The Birth of a Nation,FoxS,"$15,861,566 ","2,105","$7,004,254 ","2,105",10/7/16,12/8/16,TheBirthOfANation ,,,,
234,35,Miss Peregrine's Home for Peculiar Children,Fox,"$87,242,834 ","3,835","$28,871,140 ","3,522",9/30/16,2/9/16,MissPeregrine,,,,
235,53,Deepwater Horizon,LG/S,"$61,433,527 ","3,403","$20,223,544 ","3,259",9/30/16,12/15/16,DeepwaterHorizon,,,,
236,112,Masterminds (2016),Rela.,"$17,368,022 ","3,042","$6,541,205 ","3,042",9/30/16,11/10/16,Masterminds,,,,
237,138,Queen of Katwe,BV,"$8,874,389 ","1,259","$304,933 ",52,9/30/16,1/5/16,QueenOfKatwe,,,,
238,32,The Magnificent Seven (2016),Sony,"$93,432,655 ","3,696","$34,703,397 ","3,674",9/23/16,1/5/16,Mag7,,,,
239,43,Storks,WB,"$72,679,278 ","3,922","$21,311,407 ","3,922",9/23/16,1/12/16,Storks,,,,
240,97,Bridget Jones's Baby,Uni.,"$24,252,420 ","2,930","$8,571,785 ","2,927",9/16/16,12/15/16,BridgetJonesBaby,,,,
241,100,Snowden,ORF,"$21,587,519 ","2,443","$8,000,058 ","2,443",9/16/16,11/17/16,Snowden,,,,
242,103,Blair Witch,LGF,"$20,777,061 ","3,121","$9,576,057 ","3,121",9/16/16,10/27/16,blairwitch,,,,
243,157,Hillsong - Let Hope Rise,PFR,"$2,394,386 ",816,"$1,357,243 ",816,9/16/16,10/23/16,HillsongMovie,,,,
244,24,Sully,WB,"$125,070,033 ","3,955","$35,028,301 ","3,525",9/9/16,1/26/16,Sully,,,,
245,88,When the Bough Breaks,SGem,"$29,747,603 ","2,246","$14,202,323 ","2,246",9/9/16,11/17/16,WhenTheBoughBreaks ,,,,
246,140,The Wild Life (2016),LG/S,"$8,005,586 ","2,493","$3,342,696 ","2,493",9/9/16,10/13/16,WildlifeTheFilm,,,,
247,156,The Disappointments Room,Rela.,"$2,423,468 ","1,554","$1,402,823 ","1,554",9/9/16,10/27/16,TheDisappointmentsRoom,,,,
248,126,The Light Between Oceans,BV,"$12,545,979 ","1,500","$4,765,838 ","1,500",9/2/16,11/3/16,LightBetweenOceans,,,,
249,150,Morgan,Fox,"$3,915,251 ","2,020","$2,012,709 ","2,020",9/2/16,10/6/16,WhatIsMorgan,,,,
250,34,Don't Breathe,SGem,"$89,217,875 ","3,384","$26,411,706 ","3,051",8/26/16,12/22/16,DontBreathe,,,,
251,93,Hell or High Water,LGF,"$27,007,844 ","1,505","$621,329 ",32,8/26/16,11/17/16,HOHWMovie,,,,
252,101,Mechanic: Resurrection,LG/S,"$21,218,403 ","2,258","$7,456,525 ","2,258",8/26/16,10/27/16,MechanicResurrection,,,,
253,144,Southside with You,RAtt.,"$6,304,223 ",897,"$2,868,403 ",813,8/26/16,11/3/16,SouthsideWithYou,,,,
254,147,Hands of Stone,Wein.,"$4,712,792 ","2,011","$1,751,388 ",810,8/26/16,10/13/16,HandsOfStone ,,,,
255,67,Kubo and the Two Strings,Focus,"$48,023,088 ","3,279","$12,608,372 ","3,260",8/19/16,12/1/16,KuboMovie,,,,
256,72,War Dogs,WB,"$43,034,523 ","3,258","$14,685,305 ","3,258",8/19/16,10/20/16,WarDogs,,,,
257,95,Ben-Hur (2016),Par.,"$26,410,477 ","3,084","$11,203,815 ","3,084",8/19/16,10/6/16,BENHUR ,,,,
258,31,Sausage Party,Sony,"$97,685,686 ","3,135","$34,263,534 ","3,103",8/12/16,12/22/16,SausagePartyMovie,,,,
259,40,Pete's Dragon (2016),BV,"$76,233,151 ","3,702","$21,514,095 ","3,702",8/12/16,12/15/16,PetesDragon ,,,,
260,92,Florence Foster Jenkins,Par.,"$27,383,770 ","1,528","$6,601,313 ","1,528",8/12/16,10/27/16,FlorenceFosterJenkins,,,,
261,9,Suicide Squad,WB,"$325,100,054 ","4,255","$133,682,248 ","4,255",8/5/16,11/10/16,SuicideSquad,,,,
262,129,Cafe Society,LGF,"$11,103,205 ",631,"$359,289 ",5,8/5/16,10/6/16,CafeSociety,,,,
263,15,Jason Bourne,Uni.,"$162,434,410 ","4,039","$59,215,365 ","4,026",7/29/16,12/22/16,JasonBourne,,,,
264,25,Bad Moms,STX,"$113,257,297 ","3,215","$23,817,340 ","3,215",7/29/16,10/27/16,BadMomsXmas,,,,
265,76,Nerve,LGF,"$38,583,626 ","2,538","$9,445,456 ","2,538",7/27/16,10/6/16,NERVE,,,,
266,16,Star Trek Beyond,Par.,"$158,848,340 ","3,928","$59,253,211 ","3,928",7/22/16,10/20/16,StarTrekBeyond,,,,
267,45,Lights Out,WB (NL),"$67,268,835 ","2,835","$21,688,103 ","2,818",7/22/16,9/29/16,LightsOutMovie,,,,
268,49,Ice Age: Collision Course,Fox,"$64,063,008 ","3,997","$21,373,064 ","3,992",7/22/16,11/3/16,IceAge,ICEAGE,,,
269,123,Hillary's America: The Secret History of the Democratic Party,QF,"$13,099,931 ","1,217","$74,814 ",3,7/22/16,10/13/16,HillarysAmerica,,,,
270,21,Ghostbusters (2016),Sony,"$128,350,574 ","3,963","$46,018,755 ","3,963",7/15/16,11/10/16,Ghostbusters2016 ,,,,
271,116,The Infiltrator,BG,"$15,436,808 ","1,601","$5,303,775 ","1,601",7/13/16,10/6/16,TheInfiltrator,,,,
272,4,The Secret Life of Pets,Uni.,"$368,384,330 ","4,381","$104,352,905 ","4,370",7/8/16,12/29/16,TheSecretLifeofPets,,,,
273,71,Mike and Dave Need Wedding Dates,Fox,"$46,009,673 ","3,008","$16,628,170 ","2,982",7/8/16,10/13/16,MikeAndDave ,,,,
274,23,The Legend of Tarzan,WB,"$126,643,061 ","3,591","$38,527,856 ","3,561",7/1/16,9/15/16,LegendOfTarzan,,,,
275,38,The Purge: Election Year,Uni.,"$79,213,375 ","2,821","$31,515,110 ","2,796",7/1/16,10/13/16,ThePurgeElectionYear,,,,
276,59,The BFG,BV,"$55,483,770 ","3,392","$18,775,350 ","3,357",7/1/16,10/13/16,TheBFG,,,,
277,148,Swiss Army Man,A24,"$4,210,454 ",636,"$105,453 ",3,7/1/16,9/29/16,SwissArmyMan ,,,,
278,27,Independence Day: Resurgence,Fox,"$103,144,286 ","4,130","$41,039,944 ","4,130",6/24/16,9/15/16,IndependenceDay,,,,
279,61,The Shallows,Sony,"$55,124,043 ","2,962","$16,800,868 ","2,962",6/24/16,9/29/16,TheShallows,,,,
280,102,Free State of Jones,STX,"$20,810,036 ","2,815","$7,572,206 ","2,815",6/24/16,7/28/16,freestateofjones,,,,
281,162,The Neon Demon,BG,"$1,333,124 ",783,"$589,014 ",783,6/24/16,8/4/16,TheNeonDemon,,,,
282,2,Finding Dory,BV,"$486,295,561 ","4,305","$135,060,273 ","4,305",6/17/16,12/8/16,FindingDory,,,,
283,22,Central Intelligence,WB (NL),"$127,440,871 ","3,508","$35,535,250 ","3,508",6/17/16,9/1/16,CentralIntelligence,,,,
284,28,The Conjuring 2,WB (NL),"$102,470,008 ","3,356","$40,406,314 ","3,343",6/10/16,8/25/16,TheConjuring2,,,,
285,48,Now You See Me 2,LG/S,"$65,075,540 ","3,232","$22,383,146 ","3,232",6/10/16,8/25/16,NowYouSeeMe2,,,,
286,69,Warcraft,Uni.,"$47,365,290 ","3,406","$24,166,110 ","3,400",6/10/16,9/8/16,Warcraft,BattleForAzeroth,WoW,,
287,37,Teenage Mutant Ninja Turtles: Out of the Shadows,Par.,"$82,051,601 ","4,071","$35,316,382 ","4,071",6/3/16,9/8/16,TMNT2,,,,
288,58,Me Before You,WB (NL),"$56,245,075 ","2,762","$18,723,269 ","2,704",6/3/16,8/18/16,MeBeforeYou ,,,,
289,122,Love & Friendship,RAtt.,"$14,016,568 ",826,"$133,513 ",4,6/3/16,9/22/16,LoveAndFriendship,,,,